Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD,Region,Exchange,Currency,Total Traded,MA50,MA100,MA200,Return,Cumulative Return,Percentage Change,Stock Return
000001.SS,1997-07-02,1255.909058,1261.571045,1147.331055,1199.061035,1199.061035,0.0,191.8497656,China,Shanghai Stock Exchange,CNY,0.0,,,,,,,
000001.SS,1997-07-03,1194.676025,1194.676025,1149.939941,1150.623047,1150.623047,0.0,184.09968752,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.040396599160609004,0.959603400839391,0.946974829308959,-5.302517069104096
000001.SS,1997-07-04,1138.921021,1163.249023,1124.776001,1159.342041,1159.342041,0.0,185.49472656000003,China,Shanghai Stock Exchange,CNY,0.0,,,,0.007577628505471834,0.9668749189235393,0.9736941218017664,-2.63058781982336
000001.SS,1997-07-07,1161.707031,1163.447021,1085.572021,1096.81897,1096.81897,0.0,175.4910352,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.05392978843937224,0.9147315590986577,1.000170211189595,0.017021118959492654
000001.SS,1997-07-08,1092.79895,1115.432983,1066.043945,1109.666016,1109.666016,0.0,177.54656255999998,China,Shanghai Stock Exchange,CNY,0.0,,,,0.01171300492733085,0.9254458143575652,0.9587312209895632,-4.126877901043679
000001.SS,1997-07-09,1113.640991,1122.67395,1104.08606,1120.840942,1120.840942,0.0,179.33455072,China,Shanghai Stock Exchange,CNY,0.0,,,,0.010070530987587034,0.9347655451083858,1.006491619945221,0.6491619945220961
000001.SS,1997-07-10,1121.259033,1137.869019,1115.212036,1120.154053,1120.154053,0.0,179.22464848,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.0006128336093561559,0.9341926893654753,1.0135347123712988,1.3534712371298774
000001.SS,1997-07-11,1116.415039,1155.05603,1114.396973,1154.793945,1154.793945,0.0,184.7670312,China,Shanghai Stock Exchange,CNY,0.0,,,,0.030924221456171352,0.9630818709741495,1.0151045601145767,1.5104560114576726
000001.SS,1997-07-14,1189.473999,1201.213989,1180.19104,1200.114014,1200.114014,0.0,192.01824224,China,Shanghai Stock Exchange,CNY,0.0,,,,0.03924515641619508,1.0008781696421318,1.0399616622926942,3.9961662292694156
000001.SS,1997-07-16,1201.594971,1204.85498,1184.444946,1190.82605,1190.82605,0.0,190.532168,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.00773923468241422,0.9931321385987661,1.003031092738964,0.30310927389640696
